기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2022.1/4	송파구	오금동	15,652	38,366	18,613	19,753	38,146	18,500	19,646	220	113	107	2.44	6,520
2022.1/4	송파구	송파1동	12,309	24,135	11,285	12,850	23,806	11,126	12,680	329	159	170	1.93	3,522
2022.1/4	송파구	송파2동	7,241	19,279	9,290	9,989	19,125	9,214	9,911	154	76	78	2.64	2,950
2022.1/4	송파구	석촌동	16,924	32,025	15,239	16,786	31,449	14,982	16,467	576	257	319	1.86	4,574
2022.1/4	송파구	삼전동	16,086	30,441	14,232	16,209	30,077	14,094	15,983	364	138	226	1.87	4,051
2022.1/4	송파구	가락본동	11,837	26,317	13,039	13,278	26,039	12,916	13,123	278	123	155	2.2	3,876
2022.1/4	송파구	가락1동	9,865	27,548	13,356	14,192	27,430	13,303	14,127	118	53	65	2.78	3,566
2022.1/4	송파구	가락2동	12,359	31,946	15,634	16,312	31,770	15,552	16,218	176	82	94	2.57	4,350
2022.1/4	송파구	문정1동	8,523	20,125	9,955	10,170	19,938	9,879	10,059	187	76	111	2.34	3,032
2022.1/4	송파구	문정2동	15,749	29,061	13,293	15,768	28,855	13,211	15,644	206	82	124	1.83	4,072
2022.1/4	송파구	잠실본동	15,535	28,386	13,504	14,882	27,894	13,291	14,603	492	213	279	1.8	3,844
2022.1/4	송파구	잠실4동	7,277	21,362	10,269	11,093	21,296	10,233	11,063	66	36	30	2.93	2,863
2022.1/4	송파구	잠실6동	5,887	16,870	8,004	8,866	16,747	7,933	8,814	123	71	52	2.84	2,892
2022.1/4	송파구	잠실7동	3,383	9,536	4,444	5,092	9,521	4,436	5,085	15	8	7	2.81	2,177
2022.1/4	송파구	잠실2동	11,601	34,989	16,724	18,265	34,879	16,658	18,221	110	66	44	3.01	3,806
2022.1/4	송파구	잠실3동	11,894	34,347	16,379	17,968	34,217	16,309	17,908	130	70	60	2.88	5,917
2022.1/4	송파구	장지동	12,129	29,471	14,225	15,246	29,316	14,155	15,161	155	70	85	2.42	4,449
2022.1/4	송파구	위례동	13,674	42,547	20,743	21,804	42,429	20,708	21,721	118	35	83	3.1	3,260
2022.1/4	강동구	소계	201,926	465,097	227,891	237,206	461,300	226,203	235,097	3,797	1,688	2,109	2.28	75,477
2022.1/4	강동구	명일1동	10,113	25,884	12,593	13,291	25,795	12,559	13,236	89	34	55	2.55	4,129
